# First-cut rail: ordered by min grass level (fishing-only maps last).
# Hand-adjust to story order; re-running the emitter will NOT overwrite this file.
# Boss markers placed at each leader's own top level against the rail's
# wild-level ordering — an approximation of story order, not a substitute.
# Boss markers placed at each leader's own top level against the rail's
# wild-level ordering — an approximation of story order, not a substitute.
# Boss markers placed at each leader's own top level against the rail's
# wild-level ordering — an approximation of story order, not a substitute.
Starter
--BROCK's Gym|1|gym-leader|Leader BROCK
--MISTY's Gym|2|gym-leader|Leader MISTY
--LT. SURGE's Gym|3|gym-leader|Leader LT. SURGE
--ERIKA's Gym|4|gym-leader|Leader ERIKA
--KOGA's Gym|5|gym-leader|Leader KOGA
--SABRINA's Gym|6|gym-leader|Leader SABRINA
--BLAINE's Gym|7|gym-leader|Leader BLAINE
--GIOVANNI's Gym|8|gym-leader|Leader GIOVANNI
Diglett's Cave|diglett,dugtrio,trapinch
Outcast Island|tentacool,tentacruel,magikarp,horsea,psyduck,seadra,gyarados,qwilfish
Green Path|tentacool,tentacruel,magikarp,horsea,psyduck,seadra,gyarados,qwilfish
Trainer Tower|tentacool,tentacruel,magikarp,horsea,psyduck,seadra,gyarados,qwilfish
Tanoby Ruins|tentacool,tentacruel,magikarp,horsea,psyduck,seadra,gyarados,qwilfish
Route 19|tentacool,mantine,wailmer,sharpedo,magikarp,krabby,horsea,corphish,seadra,gyarados,corsola
Route 20|tentacool,mantine,wailmer,sharpedo,magikarp,krabby,horsea,corphish,psyduck,seadra,gyarados
Cerulean City|tentacool,marill,poliwag,magikarp,krabby,horsea,carvanha,psyduck,seaking,gyarados,corphish
Vermilion City|tentacool,carvanha,magikarp,feebas,krabby,remoraid,corphish,shellder,horsea,gyarados
Fuchsia City|wingull,pelipper,luvdisc,carvanha,magikarp,slowpoke,corsola,remoraid,clamperl,relicanth
Cinnabar Island|tentacool,tentacruel,wailmer,carvanha,magikarp,krabby,horsea,chinchou,shellder,gyarados,clamperl
Chikorita Farm|tentacool,tentacruel,magikarp,horsea,psyduck,shellder,seadra,gyarados
The Cunt|psyduck,wooper,clamperl,magikarp,poliwag,goldeen,poliwhirl,gyarados
Whirlpool|tentacool,tentacruel,hoppip,magikarp,horsea,psyduck,shellder,seadra,gyarados
--Pokémon League|e1|elite-four|Elite Four LORELEI
--Pokémon League|e2|elite-four|Elite Four BRUNO
--Pokémon League|e3|elite-four|Elite Four AGATHA
--Pokémon League|e4|elite-four|Elite Four LANCE
